"","score","text"
"232",0," daughter   funny <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32> trump dumbdumb "
"233",1,"rt richardangwin   presidents response  charlottesville looked like

saturdaymorning resist trump 1u tcot maga mapoli …"
"234",1,"rt richardangwin   presidents response  charlottesville looked like

saturdaymorning resist trump 1u tcot maga mapoli …"
"235",1,"  realdonaldtrump trump altright"
"236",1,"rt etraditionalist whitehouse petition asks trump  formally recognize antifa  terrorist organization

 htt…"
"237",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"238",0,"rt waynedupreeshow live <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35> media wants  destroy nationalismlove  country  associating  racism trump trump2020 maga …"
"239",3,"rt lvnancy  voted  trump despite leftist msms effort  distance    potus
 proudly support trump  will vote  …"
"240",0,"rt drdenagrayson <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35>wow<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35>

resignation letter  pcah trumps cmte  arts amp humanities

<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E37><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E63>first letter   paragraph<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E37><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E63>

r
e
s

s
t…"
"241",0,"rt actiontime trumpkkk   removed  25th amendmentcongress talks  removing trump due  mental disorder resist
…"
"242",0,"rt europhobe bostonmanifestation contre le racismesoros prépare une  révolution orange  pour destituer trumprisque de guerre ci…"
"243",1,"rt zlando  antitrump people  scared
scared  trump will succeed
draintheswamp
maga 
moab 
 1503116…"
"244",0,"everyone  backing away  45 finally via npr charities pull fundraisers planned  trumps maralago  "
"245",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"246",1,"rt trumpsbane thisisnotus  trump   us   must go now
trumpmustgo trumpmustresign charlottesville theresistance …"
"247",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"248",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"249",1,"rt twright55 trump inherited obama gwb billclinton mess  will take years  clean   tatiana"
"250",0,"  knew trump   problematic  us  hillarywarnedus  whiteamerica voted    backfired
"
"251",1,"rt unpersuaded112  name  dixie im  11year old bug chasing sweetheart  needs  home please rt  far  wide  trump …"
"252",1,"rt simoncapewell99 hilarious snl nbcsnl
tina fay ridicules trump excuses

billkristol
harveyjkaye 
richardcircle
motherjones
wash…"
"253",0,"rt knp2bp thanks mittromney marcorubio senatemajldr speakerryan 

 trump lies amp silence abt antifa  charlottesville amp rallies…"
"254",1,"rt unpersuaded112 petition says melania trump must live  white house  pay  massive nyc security maga "
"255",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"256",0,"rt apdalan trump lgtb    prick"
"257",-1," dont think    left  buying  trump    racist garbage"
"258",0,"watch  film jews will  replace us vice film lays bare horror  neonazis  america trump "
"259",1,"rt ornikkar ah sil pouvait fermer sa gueule  trump "
"260",-1,"rt zevshalev exclusive rudy giulianis role   clinton email scandal  trumprussia"
"261",0,"rt ledouaisien usa <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E38> cette gauchiste sextasie à donner des coups de couteau à cette pinata à leffigie de trump
ce sont des malades…"
"262",2,"maga americafirst patriot trump heres laraleatrumps weekly report  realdonaldtrump  "
"263",0,"rt knp2bp thanks mittromney marcorubio senatemajldr speakerryan 

 trump lies amp silence abt antifa  charlottesville amp rallies…"
"264",-1,"rt realdlhughley  u mad  kd  saying  wont go   whitehouse   mad  trump   going 2 heatherheyers services…"
"265",-1," love   fascist enemy   propaganda  us altright nazi trump "
"266",-1," gangrenous   need  confuse  roots  racism

indivisible 
altright 
trump
constitutionalcrisis "
"267",0,"rt balleralert now  know   crazy   church  satan doesnt want   associated  trump "
"268",4," pretty clear     concept   law  rights   potus   trump sure  good  … "
"269",1,"sat aug 19 192247 0000 2017 trump lasttweet screenshot "
"270",0,"rt smith83k gee  almost     signs everywhere trump racist "
"271",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"272",0,"remember   u wear  trump hat  <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+393C><U+3E35>

police amp bluelivesmatter say  ok  <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+623C><U+3E61>democrats 2 surround youampbeat  hell outta ya"
"273",2,"rt usmcliberal trump   regard   lives   servicemen  women   families
resisting   now   patriotic…"
"274",0,"rt unpersuaded112 mr trump realdonaldtrump everything  said      campaign  little people  apparently  lie ht…"
"275",0,"rt fmoniteau duke university resist resistance theresistance indivisible uniteblue gop donthecon maga trump foxnews impeacht…"
"276",1,"pray  president trump "
"277",1,"rt richardangwin   presidents response  charlottesville looked like

saturdaymorning resist trump 1u tcot maga mapoli …"
"278",0,"hopefully   correct    afraid  trump will start  horrible war b4   forced   office "
"279",1,"shes  devil donald trump potus donaldtrump trump trumpprotest"
"280",2,"harmeet dhillon suing  city  san jose  failing  protect trump supporters  freespeech trump maga"
"281",1,"rt mariankamensky1 sick trump
 
 
 
 trump charlottesville steveb…"
"282",0,"rt leroybrown000 realnews trump   pathological lying self serving money grubbing thin skinned narcissistic mentally ill treasono…"
"283",-1,"rt hugotravers la une du new yorker 

tout y est

trump charlotteville "
"284",1,"another day another rererererereupdated staff pic trump "
"285",1,"rt jaclopac  boston common protesters came   mass today   racist free speech rally  boston mr trump resign g…"
"286",3," steal lou dobbs hes   loyal supporter please steve give trump  positive voice youll   loyalty… "
"287",3,"rt bfraser747  1999 jessejackson praised trump   lifetime  helping africanamerican communities     donald trump ha…"
"288",1,"let’s talk  google nazis    media  avoiding  freespeech trump maga"
"289",1,"rt shomaristone trump struggles  presidential duties  uniterinchief analysis trump 
"
"290",2,"liberals  calling  boston free speech rally  white supremacist rally  freespeech trump maga"
"291",1,"shill playbook exposed 25 rules  disinformation  15 rules  handling shills  freespeech trump maga"
"292",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"293",0,"rt farrightwatch trump   shadow  cant shake   "
"294",0,"rt knp2bp thanks mittromney marcorubio senatemajldr speakerryan 

 trump lies amp silence abt antifa  charlottesville amp rallies…"
"295",1,"lebanon army discovers usmade weapons cache left  nusra terrorists  freespeech trump maga"
"296",0,"chuckwoolery good old whataboutism chucklehead  another wat bout dem folks excuse   mack daddy terrib… "
"297",2,"rt yorkenglishman themarkromano hes  love  trump  "
"298",0,"rt realjameswoods  trump   disengage   biased press  press  eventually   able  judge  actions  t…"
"299",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"300",1,"rt zlando  antitrump people  scared
scared  trump will succeed
draintheswamp
maga 
moab 
 1503116…"
"301",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"302",2,"rt janransom  trump supporter  another man  friendly debate  hate speech bostonfreespeechrally boston …"
"303",0,"rt farrightwatch trump   shadow  cant shake   "
"304",-2,"rt theangryindian goddammit maga  fucking stupid actually cheering  trump deny showing tax returns "
"305",0,"rt fmoniteau freespeechrally amjoy resist resistance theresistance indivisible uniteblue gop donthecon maga trump foxnews im…"
"306",1," antitrump people  scared
scared  trump will succeed
draintheswamp
maga  1503116893"
"307",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"308",3,"rt unitewomenorg antichoice groups praise trump   silent  charlottesville updated  rewire 
trumpsam…"
"309",0,"rt knp2bp thanks mittromney marcorubio senatemajldr speakerryan 

 trump lies amp silence abt antifa  charlottesville amp rallies…"
"310",-1,"rt pinkbelgium  excuse    unacceptable period <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E65><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E65>  dems back state senator wishing trump assassination …"
"311",0,"rt amjoyshow kurtbardella bannon  sending  message  trump   moderate breitbart will attack  amjoy …"
"312",2,"rt jbtw645 <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E38><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E38> maga stevebannon <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35>ive got  hands back   weapons<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35>now  position  help trump  effectively  watch  …"
"313",1,"whitehouse petition asks trump  formally recognize antifa  terrorist organization

 "
"314",2,"pre eclipse daily horoscope august 19 amp 20   ready eclipse eclipse2017 trump barcelona charlottesville  "
"315",1,"rt donnawr8 look  <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+623C><U+3E30>these soros funded leftist cowards  cost america trying  shut  free speech <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E63>

trump maga usa 
…"
"316",2,"rt winsonics trump supporters   left  adding fake trump accounts   tips  following

maga trump potus …"
"317",0,"rt jeffreyguterman trump administration  pushing sheriffs  keep illegal immigrants  jail longer   constitutionally allowed h…"
"318",-1,"rt brianpaulstuart  can stand   racist bigot realdonaldtrump  follow  path  heyerground walked   american trumps…"
"319",0,"rt smith83k gee  almost     signs everywhere trump racist "
"320",2,"good news
trump  skip kennedy center 
honors
 trump kennedycenterhonors presidenttrump"
"321",1,"rt scottadamssays new blog post   really need moral leadership   white house  charlottesville trump"
"322",-2,"geotle2323 jetsetterliving vashiva dont wanna  labeled racist dont march w blm labeled violent militant … "
"323",2,"trump houdt van zionisten en zionisten van trump zijn aanhang  antisemitisch dus zionistltgtjoodsdumptrump"
"324",0,"trump begged mexicos president  lie  paying   border wall  via youtube"
"325",1,"rt pocopelo23 una prueba clara de que los empresarios  saben gobernar es trump ven el país como una empresa  y tratan al ciudadanos co…"
"326",2,"rt janransom  trump supporter  another man  friendly debate  hate speech bostonfreespeechrally boston …"
"327",2,"humanity strikes back  realdonaldtrump join  worldtotrump open letter ’s sweeping  planet trump "
"328",0,"rt realjameswoods  trump   disengage   biased press  press  eventually   able  judge  actions  t…"
"329",0,"rt knp2bp thanks mittromney marcorubio senatemajldr speakerryan 

 trump lies amp silence abt antifa  charlottesville amp rallies…"
"330",0,"rt realjameswoods  trump   disengage   biased press  press  eventually   able  judge  actions  t…"
"331",1,"rt jellesimons   twitler     
trump bostonresists "
"332",0,"thats fakenews nobody called    possibly   called   assignation  trump   liar y… "
"333",1,"rt electroboyusa even   news   bannon keep  eyes  trump russia trumprussia  mueller   trumprussiainve…"
"334",1,"mikeljollett love untrumps hate go home    trump  resign"
"335",0,"rt sevenstarnews steve bannon returned  executive chairman  breitbart news amp says hes going  war  trumps opponents trump…"
"336",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"337",0,"rt fmoniteau freespeechrally amjoy resist resistance theresistance indivisible uniteblue gop donthecon maga trump foxnews im…"
"338",1,"joyannreid mwskb anybody else notice trump   commended  city  boston     people peacefully… "
"339",0," knew realdonaldtrump   failure   magnitude  astonishing   supporters illiterate trump "
"340",1,"rt dreuz1fo effet trump  le nombre hebdomadaire de chômeurs vient de baisser à son plus bas point depuis mars 1973"
"341",1,"rt shomaristone trump struggles  presidential duties  uniterinchief analysis trump 
"
"342",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"343",0,"rt knp2bp thanks mittromney marcorubio senatemajldr speakerryan 

 trump lies amp silence abt antifa  charlottesville amp rallies…"
"344",0,"rt fmoniteau kennedy center honors resist resistance theresistance indivisible uniteblue gop donthecon maga trump foxnews im…"
"345",-2,"rt webstergtarpley hegemonic resistance slogan now  trumpno kkkno fascist usa endorsed  taxwallstreetparty protest washing…"
"346",3,"rt bfraser747  1999 jessejackson praised trump   lifetime  helping africanamerican communities     donald trump ha…"
"347",1,"rt toddwhaines trump supporters assaulted  boston antifa amp soros thugs
 altleft  hitler
  created  fakenewsmedi…"
"348",0,"rt blazermuc munich münchen
 let  drink  piss
01604365196

fcbb 
tsv1860 
fcbayern

erdogan trump
türkei …"
"349",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"350",1,"yes bannonout     far  valuable  trump hateful agenda steering brietbart     whitehouse… "
"351",3,"rt bfraser747  1999 jessejackson praised trump   lifetime  helping africanamerican communities     donald trump ha…"
"352",1,"world news story fox ceo murdoch slams trump conservatives respond  news"
"353",0,"potus news  president trump  dodge confrontation  celebrities skip kennedy center honors  news"
"354",1,"rt franchise8 war chief strategist stevebannon returns  breitbartnews just hours  departing trump whitehouse …"
"355",0,"rt fmoniteau boston amjoy resist resistance theresistance indivisible uniteblue gop donthecon maga trump foxnews impeachtrump…"
"356",1,"rt unpersuaded112 trump spent nearly 1 million tax dollars   new helipad  maralago "
"357",-1,"chadmbriggs   corrupt liar  mandatory  serve   trump admin"
"358",0,"rt farrightwatch trump   shadow  cant shake   "
"359",0,"rt knp2bp thanks mittromney marcorubio senatemajldr speakerryan 

 trump lies amp silence abt antifa  charlottesville amp rallies…"
"360",0,"troostwornall juddlegum wtf ugh trump imnauseous"
"361",1,"  living  novel  philipkdick never wrote  easily   trump juggalosvsnazis"
"362",0,"rt farrightwatch trump   shadow  cant shake   "
"363",0,"rbreich       get trump    white house asap   simply unfit   position  d… "
"364",1,"rt antlavant trump wants jobs  blue collar workers business  employ  people just want  cash automation wins
…"
"365",1,"teapainusa yes trying  envision u s  without  trump sh show"
"366",1,"rt bocavista2016 dear mittromney marcorubio senjohnmccain

 defend antifa

   


trump maga b…"
"367",2,"humanity strikes back  realdonaldtrump join  worldtotrump open letter ’s sweeping  planet trump "
"368",2,"rt foxnews tuckercarlson bannon one    trump wh  wouldnt  comfortable working  hillaryclinton  tucker …"
"369",1,"twitter  allowing trump  add 100k fakefollowers every day
811356m
813357m
814358m
815359m
81636m
817361m
818362m"
"370",0,"rt knp2bp thanks mittromney marcorubio senatemajldr speakerryan 

 trump lies amp silence abt antifa  charlottesville amp rallies…"
"371",0,"rt mytop5 cenkuygur hang   guys  75  years  go hey   mean time come    message   purpose 
trump 
m…"
"372",0,"rt farrightwatch trump   shadow  cant shake   "
"373",3,"rt usmcliberal foxnews  yet fauxnews seems perfectly fine  people getting  flags taken  assaulted  trump rallies"
"374",0,"rt realjunsonchan time  bankrupt  fake news terrorists like cnn     trump maga "
"375",0,"bostonresist bostonfreespeech bostoncommon kissimmee kissimmeeshooting democrats dems altright blm antifa… "
"376",-1,"rt jaclopac trumps administration  determined 2 roll back regulations amp open public land  private industry gop impeach …"
"377",2,"  people protesting  brooklyn get  life let  fans enjoy  show wout ur cryin nxttakeoverbrooklyn3 nxtbrooklyn wwe trump"
"378",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"379",0,"rt realjunsonchan time  bankrupt  fake news terrorists like cnn     trump maga "
"380",0,"rt knp2bp thanks mittromney marcorubio senatemajldr speakerryan 

 trump lies amp silence abt antifa  charlottesville amp rallies…"
"381",0,"rt ejdionne everyone working  trump knows  charlottesville response   abomination
 almost everyone
theplumlinegs
…"
"382",0,"truth 2 extreme sides showed   fight amp    extremists   average trump supporter liars seeking… "
"383",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"384",0,"check   letter   infectious diseases society  america addressed  congress  trump… "
"385",0,"trump   shadow  cant shake   "
"386",2,"rt blazebandit2015 huge win  trump supporters seattle mayor ed murray orders  removal  vladimir leninstatue <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E62>

maga …"
"387",1,"rt kin2souls america pay close attentionpotus tuesdaythoughts trump patriotsunited "
"388",-2,"goddammit maga  fucking stupid actually cheering  trump deny showing tax returns "
"389",1,"rt fmoniteau bostoncommon fightsupremacy amjoy bostonfreespeechrally theresistance uniteblue maga trump foxnews impeachtrump t…"
"390",0,"rt realjameswoods  trump   disengage   biased press  press  eventually   able  judge  actions  t…"
"391",1,"realjameswoods couldnt agree  maga trump"
"392",2,"rt jbtw645 <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E38><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E38> maga stevebannon <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35>ive got  hands back   weapons<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E34><U+613C><U+3E35>now  position  help trump  effectively  watch  …"
"393",3,"rt bfraser747  1999 jessejackson praised trump   lifetime  helping africanamerican communities     donald trump ha…"
"394",0,"rt dashannestokes   love  country defend    bigotry  cripples  nation

fightsupremacy resist trump maga"
"395",1,"sehr lesenswerter kommentar eines intelligenten reflektierten trump anhängers der sich nun von ihm abwendet
"
"396",3,"   brilliant piece  writing directed  trump voters  must give   read note contains strong lan… "
"397",0,"rt ledouaisien usa <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E38> cette gauchiste sextasie à donner des coups de couteau à cette pinata à leffigie de trump
ce sont des malades…"
"398",0,"rt gniewko56 antifa  nazi    leftist shit maga fakenews trump altright trumptrain draintheswamp makeamericagreataga…"
"399",3,"rt drakestevens mayorstanton thank   standing   people  color  phoenix   correct  asking trump   stay  …"
"400",2,"polls show republicans still approve  trump
 republicans become  crazy   sensible republicans left  party 
 "
"401",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"402",0,"rt fmoniteau duke university resist resistance theresistance indivisible uniteblue gop donthecon maga trump foxnews impeacht…"
"403",0,"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+613C><U+3E38>trump  dropping bombs  unprecedented levels<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E61><U+613C><U+3E38>foreign policy "
"404",0,"rt realjameswoods  trump   disengage   biased press  press  eventually   able  judge  actions  t…"
"405",-1,"rt actiontime trumpkkk white house  increasingly isolatedit oddly reflects trumps isolationism   withdrew usa  tpp amp quit …"
"406",1,"cnn
cnni 
cnnpolitics 
cnnbrk 
dnc 
mittromney 
adamschiffca 
timkaine 

 choose  support … "
"407",3,"breitbartnews  folks  breitbart accepting trump win  endorsement   coverage r fools democrat fail… "
"408",1," havent blogged      one      n word nazi trump lovetrumpshate charlottesville "
"409",1,"rt dashannestokes supremacy   mask  insecurity  ignorancefightsupremacy resist trump maga boston"
"410",0,"veteranhank make  mistake trump  now amp     beginning  one calling  shots   bannon… "
"411",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"412",0,"rt knp2bp thanks mittromney marcorubio senatemajldr speakerryan 

 trump lies amp silence abt antifa  charlottesville amp rallies…"
"413",1,"media battle

murdoch fox foxnews foxnews impeachtrump remove trump realdonaldtrump resign quit

"
"414",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"415",0,"rt knp2bp thanks mittromney marcorubio senatemajldr speakerryan 

 trump lies amp silence abt antifa  charlottesville amp rallies…"
"416",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"417",1,"rt realsamsilva thetrumptrain done <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E38><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E64>americafirst maga trump "
"418",1,"rt efoulon1 quel héroïsme ce donald trump qui propose de faire couler son propre sang pour venir à bout du terrorisme 
barcelone …"
"419",1,"rt tuckercarlson marksteynonline people  voted  realdonaldtrump want  see  trump policies  addition   personality…"
"420",0,"rt penelope7usa jessweiss1 trump supporteri want 2 show people shouldnt  afraid 2voice  views2 say ur conservative
altleft…"
"421",1,"grandad    great war  2017 end

well sonny  tale begins  tiki torches   statue  grab  seat

boston
trump"
"422",2,"rt thehallicjshow covfefe politics trump amp fun  inside  hopper thehallicjshow   "
"423",2,"rt blazebandit2015 huge win  trump supporters seattle mayor ed murray orders  removal  vladimir leninstatue <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E64><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E62>

maga …"
"424",1,"rt perfectsliders   trump  today  infrastructure antifa nazi"
"425",1,"fakenews draintheswamp maga foxnews fakenewsmedia hannity realdonaldtrump potus trump cnn "
"426",1,"rt spdde klare haltung von heikomaas <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E61> vicegermany  trump charlottesville "
"427",2,"onlyinbos ccm1234  picture  worth 10000 trump words"
"428",1,"rt biologistdan new study says air gun blasting  oil exploration negatively affects whales 3km away trump wants  eliminate airgun…"
"429",0," boston common protesters came   mass today   racist free speech rally  boston mr trump… "
"430",0,"rt unpersuaded112 mr trump realdonaldtrump everything  said      campaign  little people  apparently  lie ht…"
"431",1,"il deprofundis di bannon la presidenza trump è finita 
"
"432",1,"rt bblackwhoelse ill wait trump statues blacktwitter whitesupremacists saturdaythoughts "
"433",1,"fears  spontaneously bursting  flames   enters kennedy center trump cancels appearance 4  years award ceremony sources say"
"434",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"435",1,"rt mslonesomeblues trump  followed   tuba behind  golf cart  50 secs  tubanottorches bostonfreesp…"
"436",1,"ähm können wir darüber reden trump kekistan fakenews "
"437",1,"kuten kuvista näkyy trump org myy laatua ja luksusta "
"438",0,"rt ledouaisien usa <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E37><U+623C><U+3E38> cette gauchiste sextasie à donner des coups de couteau à cette pinata à leffigie de trump
ce sont des malades…"
"439",2,"msnbc im sure theres  tell   wonder whose  trump ear  firing"
"440",0,"rt drdenagrayson privatizing afghanistan war enriches devos bro evil prince amp  trump donors<U+203C><U+FE0F><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E31>

zevshalev traciemacbmore
htt…"
"441",0,"rt sandratxas hey antifa blm take   monument  slavery <U+203C><U+FE0F><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E61><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+623C><U+3E62>
saturdaymorning 
maga
trump "
"442",2,"covfefe politics trump amp fun  inside  hopper thehallicjshow   "
"443",0,"rt jeffreyguterman trump   fake     charlatans   socalled evangelical advisory board "
"444",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"445",2,"colombia  example  democracy according  trump 
mikepence   democracy  praise juanmansantos… "
"446",1,"rt zlando  antitrump people  scared
scared  trump will succeed
draintheswamp
maga 
moab 
 1503116…"
"447",0,"guessing melania thought  might   distracting   honorees night  trump just didnt want  face pro… "
"448",0,"ivanka trump welcomes another unqualified member  teamcomplicit   enable  dividerinchief … "
"449",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"450",2,"rt janransom  trump supporter  another man  friendly debate  hate speech bostonfreespeechrally boston …"
"451",1,"rt tuckercarlson marksteynonline people  voted  realdonaldtrump want  see  trump policies  addition   personality…"
"452",0,"rt realjameswoods  trump   disengage   biased press  press  eventually   able  judge  actions  t…"
"453",2,"trump will skip  kennedycenterhonors  will instead go  another <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E30><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E32><U+613C><U+3E39> love  rally filled  nazis amp whitesupremacists"
"454",2,"rt patrickhostis welcome  theswamp <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E37>

youcallwehaul6 asavagenation trump antifaterrorists infowars realjameswoods …"
"455",2,"rt davidromeiphd  reminder    jews  voted  trump   advice  greater wisdom    us     h…"
"456",1,"rt rossmacfarlane trump nominated climatedenier  racist sam clovis  top science post usda  tell  senators  vote  htt…"
"457",2,"rt repcohen  comments  charlottesville  ill  introducing articles  impeachment  trump  good nazis  klansmen…"
"458",0,"trump apology slur       shouldnt put words   mouth "
"459",4,"good  foxnews  hire lou dobbs hannity   believe  trump trump needs  positive voice    b… "
"460",2," great russian satirist sheds light  trump’s fondness  confederate statues "
